condition,sweep,snap_TP_0,snap_TP_1,snap_TP_2,snap_MP_0,snap_MP_1,snap_MP_2,snap_B_base_0,snap_B_base_1,snap_B_base_2,traj_TP_0,traj_TP_1,traj_TP_2,traj_MP_0,traj_MP_1,traj_MP_2,traj_B_base_0,traj_B_base_1,traj_B_base_2
n_sensitivity_N80/wa_1.8,n_sensitivity_N80,-0.20154576109337233,0.45446271373578817,0.14922522559789472,-0.48037957685536087,0.37014711587240007,0.1332746440396356,0.01852593939987618,0.27112926641423657,0.01242403584367023,-0.35497299394228754,0.37369818865447163,-0.12166335925915235,-0.6177374593417087,0.4519113127032914,-0.16779815283645175,0.35873803615739097,0.12540463172131347,0.06610743579473898
n_sensitivity_N160/wa_0.0,n_sensitivity_N160,-0.5693354420936408,-0.47382948882456494,-0.005058040643370833,0.17831458327116465,-0.3238787263883501,-0.026707648234907937,0.19519750936300723,0.23821339950372206,0.30607685263282747,-0.6793888573901106,-0.18443197755960727,-0.08121213929754409,-0.056891766882516175,0.16506520247083045,0.19274268150756468,0.13091256569517437,0.30750735940076757,0.4008908342709184
n_sensitivity_N160/wa_0.6,n_sensitivity_N160,0.474545671570529,0.5587568261167973,-0.2687923368446182,0.1572468741607233,0.3423950344662946,-0.3368893796066963,-0.07539725351787062,0.09009200867264398,-0.43510626820584747,-0.3365014472859658,-0.26024290531467276,-0.2758497209871385,-0.4589985377935602,0.28639849601623346,0.006997702247023364,-0.000755205523788974,-0.03264930322935254,0.22586950750219661
n_sensitivity_N160/wa_1.2,n_sensitivity_N160,0.12109456596341499,0.4219510011637969,-0.2825639342305511,-0.3383366655724986,0.24639670555936852,-0.26195875981021155,-0.2173296549173127,0.29441748262679684,-0.2981058212474762,-0.30470591745993847,-0.2858315180090119,-0.31073378890513564,-0.40644862880845084,0.13607472173316223,-0.14338575393154485,0.10252300294376032,-0.0672603289371124,0.15865932312633893
n_sensitivity_N160/wa_1.8,n_sensitivity_N160,0.13100176061591715,0.2502163468711766,-0.1290919399600131,-0.36695413446331054,0.3742950076094416,-0.13831279281429976,-0.1871060216081254,-0.10174858542107747,-0.10847217298830202,-0.1530840619498075,-0.11852824445704392,-0.1622899943302199,-0.1802244039270687,0.15520276923995102,0.07576616633344274,0.05892144321316831,0.06666874738456682,0.1014163979930457
w_sensitivity/W30,w_sensitivity,0.2340565509518477,0.3259098544232923,-0.21677705749563106,-0.2944288913773796,0.436030235162374,-0.2243380709982561,-0.07751327529530759,0.20133644698465863,-0.46920227413860893,-0.35225363941769317,-0.06779115341545353,-0.23529247504876236,-0.3182530795072788,0.28204087346024637,-0.1467392854329453,0.10149911498031282,0.09355717755463924,0.14382791085164467
w_sensitivity/W50,w_sensitivity,0.34274566013696456,0.5238732282210543,-0.1536764574407989,-0.2344163083293518,0.5617136486701705,-0.18349427754125244,-0.31238115625349056,0.3084542850680999,-0.13520489160016222,0.019461697722567287,0.24400382226469186,0.1495770275670849,-0.07227265488135054,0.19826405478579393,0.15035203807261385,-0.07435485862452154,-0.11028687995842819,0.03849300865760301
w_sensitivity/W60,w_sensitivity,0.41973101804562485,0.5684031324480764,-0.1261168472015058,-0.2506809669731019,0.6224548859380321,-0.15475577483657163,-0.4348266446229463,0.43110492761790714,-0.1257727605842168,0.3056860742254001,0.267143343547838,0.3047747914914388,-0.11618998978549543,0.20566905005107255,0.2932276096853116,-0.29261033426085736,-0.22071533294930673,-0.09420008118422325
alignment_rule_sensitivity/sum,alignment_rule_sensitivity,0.5675599057026051,0.3087195249321118,-0.13866358228374617,-0.4527170182925009,0.3731312106472501,-0.13866358228374617,-0.5388895770933495,0.06528674691367538,-0.22960221348613355,-0.2870997582883232,0.04613410521918176,0.12962631610524172,-0.4792903822625406,0.5045656650055205,0.2842198008547465,-0.27717583958818176,-0.15601170559865266,0.4524900836217362
sensitivity/gaussian_full,sensitivity,-0.19347029781812394,0.047045707915273134,0.3829248419470902,-0.6288899506290812,0.15771619684663166,0.3796117508248176,-0.1431064428961747,-0.1924658894937215,0.32278593374287035,-0.22097467749641664,-0.1794075489727664,-0.2234930602283738,0.056091734352603916,-0.08762541806020067,-0.15123614496138144,0.16619677734879693,0.15781891353502261,0.016776516920462465
sensitivity/gaussian_kinematic,sensitivity,-0.054191161111276885,0.24138342633762047,-0.07659587546569005,-0.34563277729700687,0.26354033004088206,-0.10810286944621844,-0.1439051831758704,0.10516502991711942,-0.09039757259348781,-0.4356778371281071,-0.1013249380800334,-0.18060080088122282,0.09561039658619555,-0.013130017009340215,-0.15673397847601128,0.37139158177026343,0.059416626653609625,0.1600197819823317
sensitivity/gaussian_vxvyvz,sensitivity,-0.04629823043179851,0.24107009638626123,-0.07890927388680892,-0.38417236131419535,0.2724926143654322,-0.10480441105223608,-0.20829801334710168,0.09304852720879545,-0.08509457720260108,-0.34758735937453367,-0.1348512428754737,-0.2890927199026405,0.1741368505863746,0.020620094894213837,-0.17884492720771078,0.28326372085137863,0.23250935746515175,0.10052921827659793
sensitivity/histogram_full,sensitivity,-0.47434304825609175,-0.3267399267399268,0.2706779518574022,-0.175266762223284,-0.3101130753304666,0.2024250890740457,0.17817307773872312,-0.44868772595314854,0.20204581682099385,-0.5859531772575252,-0.4210065297021819,-0.3615075915055393,0.29921962095875143,-0.37918458353240964,-0.3554383929348329,0.6302965449032879,0.43576136662385656,0.08433010392159596
sensitivity/histogram_kinematic,sensitivity,-0.1110381665721703,-0.03509295455223658,0.08603603353896537,-0.04417952314165497,-0.04228462295962519,0.07311085268290778,0.14723425242359323,-0.006042717376330789,0.060444898045543274,-0.44631613500044753,-0.3193130613828295,-0.38907877129301355,-0.023678792038435138,-0.0981170361970696,-0.38787716915807535,0.26520043771095664,0.35010996145058687,0.029710748164362623
sensitivity/histogram_vxvyvz,sensitivity,-0.05681716451314493,-0.04203097490376294,0.09593887129646447,-0.021052788636567094,-0.020575333472591082,0.08649125064763716,0.12181927469445,-0.006974756046201862,0.07488939421199928,-0.4338426188415743,-0.5121303452597654,-0.531088788344793,-0.04179224732177494,-0.14283369639819757,-0.47001906097974394,0.24488695035679606,0.2856172347459661,0.21651864762745102
sensitivity/ksg_full,sensitivity,-0.013489409141583057,0.17098264054785794,0.16510502898036913,-0.35967510750119447,0.19632107023411374,0.15199601939560778,-0.1481771112208249,0.09930217233713154,0.13788873710108487,-0.3573817486860965,-0.06830705526357701,-0.19020008119221551,-0.2351648351648352,0.03986303551520943,-0.14341468433614038,0.3048175663806811,-0.053994155026427855,0.05196681656364462
sensitivity/ksg_vxvyvz,sensitivity,0.3100026856852974,0.4637283280116976,-0.26127223265094257,-0.27485004923756373,0.5383008564352002,-0.2876748249539055,-0.2686836305349629,0.31940965216481665,-0.2647797931217167,-0.17072006206917129,-0.018784876607681057,-0.2204209827422109,-0.18155232610187694,0.29121780907761624,-0.08164513758650092,0.03053188046175423,0.2596262632257336,0.20795592362365609
vanilla_baseline,multiple,0.23832472919339914,0.39114954790964157,-0.21380802783483502,-0.0578149712034854,0.4352153024380053,-0.23339371232417558,-0.2789964243330302,0.2316426205389121,-0.20990474768423692,-0.1569689803348154,0.09044045238876786,-0.03614186630126962,-0.27394736056817165,0.2415717973202829,-0.006200599887773052,0.04764345051862583,-0.12290005019331798,0.10950275215379525
